REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2022/09/01 00:05:00,5124.55,160.82,TRADE
VIC1,2022/09/01 00:10:00,5221.78,165.01,TRADE
VIC1,2022/09/01 00:15:00,5195.64,180.04,TRADE
VIC1,2022/09/01 00:20:00,5109.46,159.74,TRADE
VIC1,2022/09/01 00:25:00,5069.94,160.53,TRADE
VIC1,2022/09/01 00:30:00,5005.27,159.69,TRADE
VIC1,2022/09/01 00:35:00,4984.09,195.31,TRADE
VIC1,2022/09/01 00:40:00,4954.67,167.77,TRADE
VIC1,2022/09/01 00:45:00,4910.24,154.99,TRADE
VIC1,2022/09/01 00:50:00,4951.18,164.58,TRADE
VIC1,2022/09/01 00:55:00,4939.62,154.81,TRADE
VIC1,2022/09/01 01:00:00,4976.19,162.94,TRADE
VIC1,2022/09/01 01:05:00,4884.24,150.96,TRADE
VIC1,2022/09/01 01:10:00,4869.32,158.42,TRADE
VIC1,2022/09/01 01:15:00,4845.1,155.93,TRADE
VIC1,2022/09/01 01:20:00,4798.35,152.60,TRADE
VIC1,2022/09/01 01:25:00,4733.79,150.61,TRADE
VIC1,2022/09/01 01:30:00,4709.97,149,TRADE
VIC1,2022/09/01 01:35:00,4693.16,156.37,TRADE
VIC1,2022/09/01 01:40:00,4653.78,156.13,TRADE
VIC1,2022/09/01 01:45:00,4624.37,159.94,TRADE
VIC1,2022/09/01 01:50:00,4604.48,153.65,TRADE
VIC1,2022/09/01 01:55:00,4606.86,160.79,TRADE
VIC1,2022/09/01 02:00:00,4642.57,155.34,TRADE
VIC1,2022/09/01 02:05:00,4520.08,152.09,TRADE
VIC1,2022/09/01 02:10:00,4615.7,158.79,TRADE
VIC1,2022/09/01 02:15:00,4550.91,151.96,TRADE
VIC1,2022/09/01 02:20:00,4545.17,149,TRADE
VIC1,2022/09/01 02:25:00,4468.72,149,TRADE
VIC1,2022/09/01 02:30:00,4452.72,149,TRADE
VIC1,2022/09/01 02:35:00,4459.11,156.71,TRADE
VIC1,2022/09/01 02:40:00,4423.51,173.97,TRADE
VIC1,2022/09/01 02:45:00,4473.56,155.70,TRADE
VIC1,2022/09/01 02:50:00,4436.82,149,TRADE
VIC1,2022/09/01 02:55:00,4440.87,154.21,TRADE
VIC1,2022/09/01 03:00:00,4446.91,154.15,TRADE
VIC1,2022/09/01 03:05:00,4423.69,155.53,TRADE
VIC1,2022/09/01 03:10:00,4423.7,156.94,TRADE
VIC1,2022/09/01 03:15:00,4388.1,156.90,TRADE
VIC1,2022/09/01 03:20:00,4382.37,154.47,TRADE
VIC1,2022/09/01 03:25:00,4350.17,156.85,TRADE
VIC1,2022/09/01 03:30:00,4389.58,158.30,TRADE
VIC1,2022/09/01 03:35:00,4329.16,153.86,TRADE
VIC1,2022/09/01 03:40:00,4328.67,155.27,TRADE
VIC1,2022/09/01 03:45:00,4372.33,155.67,TRADE
VIC1,2022/09/01 03:50:00,4428.35,159.87,TRADE
VIC1,2022/09/01 03:55:00,4412.84,156.72,TRADE
VIC1,2022/09/01 04:00:00,4402.51,156.88,TRADE
VIC1,2022/09/01 04:05:00,4344.07,149,TRADE
VIC1,2022/09/01 04:10:00,4400.91,156.05,TRADE
VIC1,2022/09/01 04:15:00,4409.06,155.23,TRADE
VIC1,2022/09/01 04:20:00,4477.05,195.01,TRADE
VIC1,2022/09/01 04:25:00,4481.65,194.94,TRADE
VIC1,2022/09/01 04:30:00,4386.76,149,TRADE
VIC1,2022/09/01 04:35:00,4525.26,162.91,TRADE
VIC1,2022/09/01 04:40:00,4517.01,220.69,TRADE
VIC1,2022/09/01 04:45:00,4510.27,220.69,TRADE
VIC1,2022/09/01 04:50:00,4560.07,224.90,TRADE
VIC1,2022/09/01 04:55:00,4504.49,222.54,TRADE
VIC1,2022/09/01 05:00:00,4523.64,266.22,TRADE
VIC1,2022/09/01 05:05:00,4629.13,278.08,TRADE
VIC1,2022/09/01 05:10:00,4634.04,220.69,TRADE
VIC1,2022/09/01 05:15:00,4690,220.69,TRADE
VIC1,2022/09/01 05:20:00,4680.23,244.08,TRADE
VIC1,2022/09/01 05:25:00,4736.44,220.69,TRADE
VIC1,2022/09/01 05:30:00,4785.67,282.92,TRADE
VIC1,2022/09/01 05:35:00,4863.86,151.51,TRADE
VIC1,2022/09/01 05:40:00,4838.84,149,TRADE
VIC1,2022/09/01 05:45:00,4935.2,150.49,TRADE
VIC1,2022/09/01 05:50:00,5052.14,154.31,TRADE
VIC1,2022/09/01 05:55:00,5118.1,150.16,TRADE
VIC1,2022/09/01 06:00:00,5195.83,155.56,TRADE
VIC1,2022/09/01 06:05:00,5215.97,148,TRADE
VIC1,2022/09/01 06:10:00,5379.72,148.57,TRADE
VIC1,2022/09/01 06:15:00,5452.04,149,TRADE
VIC1,2022/09/01 06:20:00,5512.35,149,TRADE
VIC1,2022/09/01 06:25:00,5578.48,149,TRADE
VIC1,2022/09/01 06:30:00,5642.7,149,TRADE
VIC1,2022/09/01 06:35:00,5742.75,149,TRADE
VIC1,2022/09/01 06:40:00,5886.38,186.90,TRADE
VIC1,2022/09/01 06:45:00,5991.31,240,TRADE
VIC1,2022/09/01 06:50:00,6032.49,270.82,TRADE
VIC1,2022/09/01 06:55:00,6136.05,270.82,TRADE
VIC1,2022/09/01 07:00:00,6181.09,270.82,TRADE
VIC1,2022/09/01 07:05:00,6209.86,220.69,TRADE
VIC1,2022/09/01 07:10:00,6249.38,220.69,TRADE
VIC1,2022/09/01 07:15:00,6332.71,274.46,TRADE
VIC1,2022/09/01 07:20:00,6386.47,183.10,TRADE
VIC1,2022/09/01 07:25:00,6507.1,278.54,TRADE
VIC1,2022/09/01 07:30:00,6568.64,300.96,TRADE
VIC1,2022/09/01 07:35:00,6516.93,183.96,TRADE
VIC1,2022/09/01 07:40:00,6685.1,149,TRADE
VIC1,2022/09/01 07:45:00,6637.12,149,TRADE
VIC1,2022/09/01 07:50:00,6691.41,270.82,TRADE
VIC1,2022/09/01 07:55:00,6613.51,152.99,TRADE
VIC1,2022/09/01 08:00:00,6538.21,150.25,TRADE
VIC1,2022/09/01 08:05:00,6572.08,186.70,TRADE
VIC1,2022/09/01 08:10:00,6615.01,186.98,TRADE
VIC1,2022/09/01 08:15:00,6582.43,115.01,TRADE
VIC1,2022/09/01 08:20:00,6515.35,115.01,TRADE
VIC1,2022/09/01 08:25:00,6498.7,149,TRADE
VIC1,2022/09/01 08:30:00,6514.86,150.24,TRADE
VIC1,2022/09/01 08:35:00,6500.45,148,TRADE
VIC1,2022/09/01 08:40:00,6473.82,148,TRADE
VIC1,2022/09/01 08:45:00,6405.9,149,TRADE
VIC1,2022/09/01 08:50:00,6367.93,148,TRADE
VIC1,2022/09/01 08:55:00,6364.24,149,TRADE
VIC1,2022/09/01 09:00:00,6374.59,148,TRADE
VIC1,2022/09/01 09:05:00,6348.67,148,TRADE
VIC1,2022/09/01 09:10:00,6284.61,115,TRADE
VIC1,2022/09/01 09:15:00,6347.17,148,TRADE
VIC1,2022/09/01 09:20:00,6286.87,115.01,TRADE
VIC1,2022/09/01 09:25:00,6202.29,115,TRADE
VIC1,2022/09/01 09:30:00,6041.14,29.81,TRADE
VIC1,2022/09/01 09:35:00,5957.77,115,TRADE
VIC1,2022/09/01 09:40:00,5941.77,77.22,TRADE
VIC1,2022/09/01 09:45:00,5858.11,40,TRADE
VIC1,2022/09/01 09:50:00,5906.49,112.53,TRADE
VIC1,2022/09/01 09:55:00,5814.05,76.60,TRADE
VIC1,2022/09/01 10:00:00,5693.51,40,TRADE
VIC1,2022/09/01 10:05:00,5739.7,149,TRADE
VIC1,2022/09/01 10:10:00,5670.82,107.61,TRADE
VIC1,2022/09/01 10:15:00,5629.04,107.61,TRADE
VIC1,2022/09/01 10:20:00,5653.36,136.78,TRADE
VIC1,2022/09/01 10:25:00,5475.93,49.75,TRADE
VIC1,2022/09/01 10:30:00,5462.11,85.25,TRADE
VIC1,2022/09/01 10:35:00,5420.58,19.13,TRADE
VIC1,2022/09/01 10:40:00,5467.21,149,TRADE
VIC1,2022/09/01 10:45:00,5473.95,149,TRADE
VIC1,2022/09/01 10:50:00,5355.64,49.10,TRADE
VIC1,2022/09/01 10:55:00,5304.84,95.25,TRADE
VIC1,2022/09/01 11:00:00,5234.85,136.78,TRADE
VIC1,2022/09/01 11:05:00,5218.29,81.15,TRADE
VIC1,2022/09/01 11:10:00,5268.4,125.40,TRADE
VIC1,2022/09/01 11:15:00,5327.57,136.78,TRADE
VIC1,2022/09/01 11:20:00,5337.03,136.78,TRADE
VIC1,2022/09/01 11:25:00,5340.17,136.78,TRADE
VIC1,2022/09/01 11:30:00,5329.87,20.70,TRADE
VIC1,2022/09/01 11:35:00,5221.34,108.06,TRADE
VIC1,2022/09/01 11:40:00,5274.5,123.58,TRADE
VIC1,2022/09/01 11:45:00,5291.55,136.78,TRADE
VIC1,2022/09/01 11:50:00,5171.08,69.58,TRADE
VIC1,2022/09/01 11:55:00,5240.42,136.78,TRADE
VIC1,2022/09/01 12:00:00,5259.41,149,TRADE
VIC1,2022/09/01 12:05:00,5328.51,140.09,TRADE
VIC1,2022/09/01 12:10:00,5342.62,111.55,TRADE
VIC1,2022/09/01 12:15:00,5294.36,31.44,TRADE
VIC1,2022/09/01 12:20:00,5279.39,136.78,TRADE
VIC1,2022/09/01 12:25:00,5305.92,136.78,TRADE
VIC1,2022/09/01 12:30:00,5324.54,136.78,TRADE
VIC1,2022/09/01 12:35:00,5329.65,227.96,TRADE
VIC1,2022/09/01 12:40:00,5320.69,136.78,TRADE
VIC1,2022/09/01 12:45:00,5372.84,50.41,TRADE
VIC1,2022/09/01 12:50:00,5329.93,136.78,TRADE
VIC1,2022/09/01 12:55:00,5331.47,134.44,TRADE
VIC1,2022/09/01 13:00:00,5352.24,136.78,TRADE
VIC1,2022/09/01 13:05:00,5361.14,149,TRADE
VIC1,2022/09/01 13:10:00,5480.9,220.69,TRADE
VIC1,2022/09/01 13:15:00,5463.04,181.11,TRADE
VIC1,2022/09/01 13:20:00,5472.03,146.82,TRADE
VIC1,2022/09/01 13:25:00,5440.41,211.99,TRADE
VIC1,2022/09/01 13:30:00,5370.15,120.23,TRADE
VIC1,2022/09/01 13:35:00,5433.01,136.78,TRADE
VIC1,2022/09/01 13:40:00,5433.31,136.78,TRADE
VIC1,2022/09/01 13:45:00,5401.29,136.78,TRADE
VIC1,2022/09/01 13:50:00,5369.92,136.78,TRADE
VIC1,2022/09/01 13:55:00,5263.23,136.78,TRADE
VIC1,2022/09/01 14:00:00,5266.02,136.78,TRADE
VIC1,2022/09/01 14:05:00,5271.3,107.61,TRADE
VIC1,2022/09/01 14:10:00,5307.93,136.78,TRADE
VIC1,2022/09/01 14:15:00,5267.61,136.78,TRADE
VIC1,2022/09/01 14:20:00,5248.2,136.78,TRADE
VIC1,2022/09/01 14:25:00,5227.85,130.38,TRADE
VIC1,2022/09/01 14:30:00,5275.98,127.31,TRADE
VIC1,2022/09/01 14:35:00,5274.35,50.01,TRADE
VIC1,2022/09/01 14:40:00,5263.91,106.34,TRADE
