REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2022/05/01 00:05:00,4476.99,158.86,TRADE
VIC1,2022/05/01 00:10:00,4409.54,139.13,TRADE
VIC1,2022/05/01 00:15:00,4419.25,160.36,TRADE
VIC1,2022/05/01 00:20:00,4372.37,187.28,TRADE
VIC1,2022/05/01 00:25:00,4316.85,174.01,TRADE
VIC1,2022/05/01 00:30:00,4260.47,174.70,TRADE
VIC1,2022/05/01 00:35:00,4274.78,178.93,TRADE
VIC1,2022/05/01 00:40:00,4218.88,145.87,TRADE
VIC1,2022/05/01 00:45:00,4164.63,137.79,TRADE
VIC1,2022/05/01 00:50:00,4153.52,138.32,TRADE
VIC1,2022/05/01 00:55:00,4166.06,158.48,TRADE
VIC1,2022/05/01 01:00:00,4165.65,174.62,TRADE
VIC1,2022/05/01 01:05:00,4161.01,194.51,TRADE
VIC1,2022/05/01 01:10:00,4072.59,173.74,TRADE
VIC1,2022/05/01 01:15:00,4121.54,177.73,TRADE
VIC1,2022/05/01 01:20:00,4099.56,193.24,TRADE
VIC1,2022/05/01 01:25:00,4103.56,191.21,TRADE
VIC1,2022/05/01 01:30:00,4041.98,175.14,TRADE
VIC1,2022/05/01 01:35:00,3962.33,174.48,TRADE
VIC1,2022/05/01 01:40:00,3954.63,177.61,TRADE
VIC1,2022/05/01 01:45:00,3958.24,184.04,TRADE
VIC1,2022/05/01 01:50:00,3897.84,182.67,TRADE
VIC1,2022/05/01 01:55:00,3810.75,180.31,TRADE
VIC1,2022/05/01 02:00:00,3842.11,130.05,TRADE
VIC1,2022/05/01 02:05:00,3862.43,212.64,TRADE
VIC1,2022/05/01 02:10:00,3866.02,205.94,TRADE
VIC1,2022/05/01 02:15:00,3847.64,205.23,TRADE
VIC1,2022/05/01 02:20:00,3789.96,134.62,TRADE
VIC1,2022/05/01 02:25:00,3814.88,145.34,TRADE
VIC1,2022/05/01 02:30:00,3844.34,165.68,TRADE
VIC1,2022/05/01 02:35:00,3799.46,136.05,TRADE
VIC1,2022/05/01 02:40:00,3796.09,112.27,TRADE
VIC1,2022/05/01 02:45:00,3770.35,131.02,TRADE
VIC1,2022/05/01 02:50:00,3763.99,131.02,TRADE
VIC1,2022/05/01 02:55:00,3744.03,128.46,TRADE
VIC1,2022/05/01 03:00:00,3749.86,104.63,TRADE
VIC1,2022/05/01 03:05:00,3663.71,48.47,TRADE
VIC1,2022/05/01 03:10:00,3694.04,77.89,TRADE
VIC1,2022/05/01 03:15:00,3748.48,99.45,TRADE
VIC1,2022/05/01 03:20:00,3733.08,105.91,TRADE
VIC1,2022/05/01 03:25:00,3730.8,103.94,TRADE
VIC1,2022/05/01 03:30:00,3737.3,114.17,TRADE
VIC1,2022/05/01 03:35:00,3746.48,131.04,TRADE
