REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2022/06/01 00:05:00,5363.51,258.08,TRADE
VIC1,2022/06/01 00:10:00,5345.12,178.27,TRADE
VIC1,2022/06/01 00:15:00,5240.54,132.73,TRADE
VIC1,2022/06/01 00:20:00,5295.44,139.25,TRADE
VIC1,2022/06/01 00:25:00,5277.13,134.83,TRADE
VIC1,2022/06/01 00:30:00,5228.63,132.78,TRADE
VIC1,2022/06/01 00:35:00,5103.79,85.88,TRADE
VIC1,2022/06/01 00:40:00,5119.23,86.32,TRADE
VIC1,2022/06/01 00:45:00,5088.58,247.93,TRADE
VIC1,2022/06/01 00:50:00,5093.82,256.03,TRADE
VIC1,2022/06/01 00:55:00,5052.25,130.18,TRADE
VIC1,2022/06/01 01:00:00,5012.84,83.92,TRADE
VIC1,2022/06/01 01:05:00,5005.82,89.26,TRADE
VIC1,2022/06/01 01:10:00,4981.99,250.24,TRADE
VIC1,2022/06/01 01:15:00,4982.04,261.01,TRADE
VIC1,2022/06/01 01:20:00,4956.16,253.03,TRADE
VIC1,2022/06/01 01:25:00,4869.83,55.76,TRADE
VIC1,2022/06/01 01:30:00,4921.28,91.50,TRADE
VIC1,2022/06/01 01:35:00,4859.54,55.76,TRADE
VIC1,2022/06/01 01:40:00,4818.61,19.17,TRADE
VIC1,2022/06/01 01:45:00,4763.18,19.17,TRADE
VIC1,2022/06/01 01:50:00,4789.48,126.06,TRADE
VIC1,2022/06/01 01:55:00,4737.39,71.05,TRADE
VIC1,2022/06/01 02:00:00,4687.61,24.41,TRADE
VIC1,2022/06/01 02:05:00,4623.97,50.60,TRADE
VIC1,2022/06/01 02:10:00,4624.44,25.16,TRADE
VIC1,2022/06/01 02:15:00,4683.12,79.75,TRADE
VIC1,2022/06/01 02:20:00,4612.26,55.76,TRADE
VIC1,2022/06/01 02:25:00,4512.31,19.17,TRADE
VIC1,2022/06/01 02:30:00,4574.61,55.76,TRADE
VIC1,2022/06/01 02:35:00,4564.63,55.76,TRADE
VIC1,2022/06/01 02:40:00,4549.04,124.71,TRADE
VIC1,2022/06/01 02:45:00,4486.97,51.39,TRADE
VIC1,2022/06/01 02:50:00,4471.58,55.76,TRADE
VIC1,2022/06/01 02:55:00,4566.86,55.76,TRADE
VIC1,2022/06/01 03:00:00,4514.96,14.78,TRADE
VIC1,2022/06/01 03:05:00,4414.25,19.17,TRADE
VIC1,2022/06/01 03:10:00,4514.71,55.76,TRADE
VIC1,2022/06/01 03:15:00,4542.38,55.76,TRADE
VIC1,2022/06/01 03:20:00,4497.93,50.58,TRADE
VIC1,2022/06/01 03:25:00,4493.2,20.28,TRADE
VIC1,2022/06/01 03:30:00,4429.25,19.17,TRADE
