REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2022/10/01 00:05:00,4729.71,149.98,TRADE
VIC1,2022/10/01 00:10:00,4739.93,159.57,TRADE
VIC1,2022/10/01 00:15:00,4620.41,150.32,TRADE
VIC1,2022/10/01 00:20:00,4608.61,149.98,TRADE
VIC1,2022/10/01 00:25:00,4580.11,149.98,TRADE
VIC1,2022/10/01 00:30:00,4538.55,149.98,TRADE
VIC1,2022/10/01 00:35:00,4565.22,156.57,TRADE
VIC1,2022/10/01 00:40:00,4550.03,159.41,TRADE
VIC1,2022/10/01 00:45:00,4484.96,159.22,TRADE
VIC1,2022/10/01 00:50:00,4437.7,159.18,TRADE
VIC1,2022/10/01 00:55:00,4389.9,158.50,TRADE
VIC1,2022/10/01 01:00:00,4334.33,149.98,TRADE
VIC1,2022/10/01 01:05:00,4376.47,159.45,TRADE
VIC1,2022/10/01 01:10:00,4353.58,160.43,TRADE
VIC1,2022/10/01 01:15:00,4304.5,156.33,TRADE
VIC1,2022/10/01 01:20:00,4269.15,153.58,TRADE
VIC1,2022/10/01 01:25:00,4323.71,157.72,TRADE
VIC1,2022/10/01 01:30:00,4316.03,154.87,TRADE
VIC1,2022/10/01 01:35:00,4208.33,155.36,TRADE
VIC1,2022/10/01 01:40:00,4257.41,159.70,TRADE
VIC1,2022/10/01 01:45:00,4253.23,159.40,TRADE
VIC1,2022/10/01 01:50:00,4229.4,158.20,TRADE
VIC1,2022/10/01 01:55:00,4173.03,151.78,TRADE
VIC1,2022/10/01 02:00:00,4144.72,149.98,TRADE
VIC1,2022/10/01 02:05:00,4125.86,151.27,TRADE
VIC1,2022/10/01 02:10:00,4164.25,152.69,TRADE
VIC1,2022/10/01 02:15:00,4130.55,152.31,TRADE
VIC1,2022/10/01 02:20:00,4089.88,149.98,TRADE
VIC1,2022/10/01 02:25:00,4091.63,150.28,TRADE
VIC1,2022/10/01 02:30:00,4067.99,149.98,TRADE
VIC1,2022/10/01 02:35:00,4025.99,160.52,TRADE
VIC1,2022/10/01 02:40:00,3957.76,153.80,TRADE
VIC1,2022/10/01 02:45:00,4001.39,155.03,TRADE
VIC1,2022/10/01 02:50:00,4019.29,159.45,TRADE
VIC1,2022/10/01 02:55:00,3967.08,153.92,TRADE
VIC1,2022/10/01 03:00:00,3974.35,154.93,TRADE
VIC1,2022/10/01 03:05:00,4000.72,154.83,TRADE
VIC1,2022/10/01 03:10:00,4010.25,159.06,TRADE
VIC1,2022/10/01 03:15:00,4005.34,158.50,TRADE
VIC1,2022/10/01 03:20:00,3995.57,158.63,TRADE
VIC1,2022/10/01 03:25:00,4013.19,157.18,TRADE
VIC1,2022/10/01 03:30:00,3930.58,151.95,TRADE
VIC1,2022/10/01 03:35:00,3983.09,156.19,TRADE
VIC1,2022/10/01 03:40:00,3975.97,153.83,TRADE
VIC1,2022/10/01 03:45:00,3949.27,150.59,TRADE
VIC1,2022/10/01 03:50:00,3994.69,157.65,TRADE
VIC1,2022/10/01 03:55:00,3977.33,154.66,TRADE
VIC1,2022/10/01 04:00:00,3945.74,154.81,TRADE
VIC1,2022/10/01 04:05:00,3960.06,147.91,TRADE
VIC1,2022/10/01 04:10:00,3942.43,146.43,TRADE
VIC1,2022/10/01 04:15:00,3916.11,149.98,TRADE
VIC1,2022/10/01 04:20:00,3992.71,149.98,TRADE
VIC1,2022/10/01 04:25:00,4001.2,149.98,TRADE
VIC1,2022/10/01 04:30:00,3989.98,149.98,TRADE
VIC1,2022/10/01 04:35:00,4033.69,149.98,TRADE
VIC1,2022/10/01 04:40:00,4076.03,149.98,TRADE
VIC1,2022/10/01 04:45:00,4075.64,149.98,TRADE
VIC1,2022/10/01 04:50:00,4034.33,149.98,TRADE
VIC1,2022/10/01 04:55:00,3990.91,149.98,TRADE
VIC1,2022/10/01 05:00:00,3997.6,150.97,TRADE
VIC1,2022/10/01 05:05:00,4049.54,154.93,TRADE
VIC1,2022/10/01 05:10:00,4100.88,158.71,TRADE
VIC1,2022/10/01 05:15:00,4060.62,155.58,TRADE
VIC1,2022/10/01 05:20:00,4098.24,157.61,TRADE
VIC1,2022/10/01 05:25:00,4161.69,160.41,TRADE
VIC1,2022/10/01 05:30:00,4174.76,162.55,TRADE
VIC1,2022/10/01 05:35:00,4109.2,149.98,TRADE
VIC1,2022/10/01 05:40:00,4208.85,151,TRADE
VIC1,2022/10/01 05:45:00,4239.47,156.78,TRADE
