REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2022/12/01 00:05:00,4378.06,116.46,TRADE
VIC1,2022/12/01 00:10:00,4310.53,119.50,TRADE
VIC1,2022/12/01 00:15:00,4304.21,118.68,TRADE
VIC1,2022/12/01 00:20:00,4317.84,115.55,TRADE
VIC1,2022/12/01 00:25:00,4275.61,112.50,TRADE
VIC1,2022/12/01 00:30:00,4248.99,111.73,TRADE
VIC1,2022/12/01 00:35:00,4277.66,119.50,TRADE
VIC1,2022/12/01 00:40:00,4252.44,119.50,TRADE
VIC1,2022/12/01 00:45:00,4111.43,107.83,TRADE
VIC1,2022/12/01 00:50:00,4237.94,119.50,TRADE
VIC1,2022/12/01 00:55:00,4227.06,116.85,TRADE
VIC1,2022/12/01 01:00:00,4196.82,119.50,TRADE
VIC1,2022/12/01 01:05:00,4179.36,119.50,TRADE
VIC1,2022/12/01 01:10:00,4081.6,119.50,TRADE
VIC1,2022/12/01 01:15:00,4173.29,119.50,TRADE
VIC1,2022/12/01 01:20:00,4129.85,117.34,TRADE
VIC1,2022/12/01 01:25:00,4071.01,84.75,TRADE
VIC1,2022/12/01 01:30:00,4082.93,118.15,TRADE
VIC1,2022/12/01 01:35:00,4063.88,102.22,TRADE
VIC1,2022/12/01 01:40:00,4028.5,104.73,TRADE
VIC1,2022/12/01 01:45:00,4023.09,99.30,TRADE
VIC1,2022/12/01 01:50:00,3951.73,84.24,TRADE
VIC1,2022/12/01 01:55:00,3938.94,85.25,TRADE
VIC1,2022/12/01 02:00:00,3978.91,85,TRADE
VIC1,2022/12/01 02:05:00,3977.29,99.06,TRADE
VIC1,2022/12/01 02:10:00,3874.65,83.13,TRADE
VIC1,2022/12/01 02:15:00,3953.14,85.85,TRADE
VIC1,2022/12/01 02:20:00,3950.54,84.64,TRADE
VIC1,2022/12/01 02:25:00,3926.23,85.25,TRADE
VIC1,2022/12/01 02:30:00,3940.7,86.56,TRADE
