REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2022/04/01 00:05:00,4212.32,8.95,TRADE
VIC1,2022/04/01 00:10:00,4184.92,8.95,TRADE
VIC1,2022/04/01 00:15:00,4177.91,8.95,TRADE
VIC1,2022/04/01 00:20:00,4091.49,8.95,TRADE
VIC1,2022/04/01 00:25:00,4042.61,2.51,TRADE
VIC1,2022/04/01 00:30:00,4000.49,8.95,TRADE
VIC1,2022/04/01 00:35:00,3980.21,8.95,TRADE
VIC1,2022/04/01 00:40:00,3969.21,8.95,TRADE
VIC1,2022/04/01 00:45:00,3973.39,8.95,TRADE
VIC1,2022/04/01 00:50:00,3996.79,8.95,TRADE
VIC1,2022/04/01 00:55:00,3936.85,8.95,TRADE
VIC1,2022/04/01 01:00:00,3966.59,8.95,TRADE
VIC1,2022/04/01 01:05:00,3926.42,8.95,TRADE
VIC1,2022/04/01 01:10:00,3963.71,8.95,TRADE
VIC1,2022/04/01 01:15:00,3906.98,8.95,TRADE
VIC1,2022/04/01 01:20:00,3886.23,8.95,TRADE
VIC1,2022/04/01 01:25:00,3850.91,0.02,TRADE
VIC1,2022/04/01 01:30:00,3821.77,8.95,TRADE
VIC1,2022/04/01 01:35:00,3808.08,-19.95,TRADE
VIC1,2022/04/01 01:40:00,3845.56,8.95,TRADE
VIC1,2022/04/01 01:45:00,3826.69,0.02,TRADE
VIC1,2022/04/01 01:50:00,3791.97,-25.53,TRADE
VIC1,2022/04/01 01:55:00,3739,5.04,TRADE
VIC1,2022/04/01 02:00:00,3752.47,8.95,TRADE
VIC1,2022/04/01 02:05:00,3810.44,0.02,TRADE
VIC1,2022/04/01 02:10:00,3766.44,0.02,TRADE
VIC1,2022/04/01 02:15:00,3758.7,0.02,TRADE
VIC1,2022/04/01 02:20:00,3714.6,1.72,TRADE
VIC1,2022/04/01 02:25:00,3710.62,0.02,TRADE
VIC1,2022/04/01 02:30:00,3699.24,1.02,TRADE
