REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2022/03/01 00:05:00,4649.62,84.90,TRADE
VIC1,2022/03/01 00:10:00,4634.66,82.28,TRADE
VIC1,2022/03/01 00:15:00,4601.07,83.79,TRADE
VIC1,2022/03/01 00:20:00,4579.52,82.25,TRADE
VIC1,2022/03/01 00:25:00,4556.86,82.28,TRADE
VIC1,2022/03/01 00:30:00,4531.47,80.31,TRADE
VIC1,2022/03/01 00:35:00,4522.46,73.96,TRADE
VIC1,2022/03/01 00:40:00,4507.25,74.34,TRADE
VIC1,2022/03/01 00:45:00,4499.09,74.04,TRADE
VIC1,2022/03/01 00:50:00,4474.33,73.14,TRADE
VIC1,2022/03/01 00:55:00,4480.38,70,TRADE
VIC1,2022/03/01 01:00:00,4471.98,70,TRADE
VIC1,2022/03/01 01:05:00,4460.65,78.02,TRADE
VIC1,2022/03/01 01:10:00,4415.84,73.56,TRADE
VIC1,2022/03/01 01:15:00,4415.59,74.04,TRADE
VIC1,2022/03/01 01:20:00,4394.06,73.14,TRADE
VIC1,2022/03/01 01:25:00,4388.31,73.16,TRADE
VIC1,2022/03/01 01:30:00,4363.3,76.63,TRADE
VIC1,2022/03/01 01:35:00,4339.3,81.13,TRADE
VIC1,2022/03/01 01:40:00,4301.02,79.91,TRADE
VIC1,2022/03/01 01:45:00,4287.65,84.90,TRADE
VIC1,2022/03/01 01:50:00,4258.46,84.90,TRADE
VIC1,2022/03/01 01:55:00,4257.7,84.90,TRADE
VIC1,2022/03/01 02:00:00,4221.13,84.90,TRADE
VIC1,2022/03/01 02:05:00,4238.66,84.90,TRADE
VIC1,2022/03/01 02:10:00,4250.85,81.08,TRADE
VIC1,2022/03/01 02:15:00,4204.14,81.83,TRADE
VIC1,2022/03/01 02:20:00,4203.36,78.32,TRADE
VIC1,2022/03/01 02:25:00,4202.45,81.80,TRADE
VIC1,2022/03/01 02:30:00,4203.44,81.08,TRADE
VIC1,2022/03/01 02:35:00,4155.27,82.49,TRADE
VIC1,2022/03/01 02:40:00,4146.25,70.55,TRADE
VIC1,2022/03/01 02:45:00,4148.83,70.53,TRADE
VIC1,2022/03/01 02:50:00,4130.05,70,TRADE
VIC1,2022/03/01 02:55:00,4123.35,69.47,TRADE
VIC1,2022/03/01 03:00:00,4116.98,70,TRADE
VIC1,2022/03/01 03:05:00,4136.88,81.81,TRADE
VIC1,2022/03/01 03:10:00,4171.53,81.84,TRADE
VIC1,2022/03/01 03:15:00,4175.76,81.85,TRADE
VIC1,2022/03/01 03:20:00,4170.31,80.98,TRADE
VIC1,2022/03/01 03:25:00,4189.56,67.60,TRADE
VIC1,2022/03/01 03:30:00,4184.27,83.88,TRADE
VIC1,2022/03/01 03:35:00,4180.31,67.60,TRADE
VIC1,2022/03/01 03:40:00,4199.49,70,TRADE
VIC1,2022/03/01 03:45:00,4206.71,70.52,TRADE
VIC1,2022/03/01 03:50:00,4225.88,70,TRADE
VIC1,2022/03/01 03:55:00,4221.88,70,TRADE
VIC1,2022/03/01 04:00:00,4236.14,70.17,TRADE
VIC1,2022/03/01 04:05:00,4274.77,68.21,TRADE
VIC1,2022/03/01 04:10:00,4304.58,70,TRADE
VIC1,2022/03/01 04:15:00,4298.48,83.82,TRADE
VIC1,2022/03/01 04:20:00,4313.19,83.32,TRADE
VIC1,2022/03/01 04:25:00,4345.41,83.07,TRADE
VIC1,2022/03/01 04:30:00,4318.54,81.82,TRADE
VIC1,2022/03/01 04:35:00,4372.67,86.60,TRADE
VIC1,2022/03/01 04:40:00,4397.78,84.36,TRADE
VIC1,2022/03/01 04:45:00,4399.73,84.80,TRADE
VIC1,2022/03/01 04:50:00,4444.48,84.90,TRADE
VIC1,2022/03/01 04:55:00,4477.54,84.90,TRADE
VIC1,2022/03/01 05:00:00,4516.88,85.44,TRADE
VIC1,2022/03/01 05:05:00,4614.28,85.10,TRADE
VIC1,2022/03/01 05:10:00,4686.07,87.59,TRADE
VIC1,2022/03/01 05:15:00,4717.19,88.10,TRADE
VIC1,2022/03/01 05:20:00,4713.73,88.61,TRADE
VIC1,2022/03/01 05:25:00,4790.37,89.29,TRADE
VIC1,2022/03/01 05:30:00,4836.89,93.01,TRADE
VIC1,2022/03/01 05:35:00,4874.53,94.48,TRADE
VIC1,2022/03/01 05:40:00,4938.42,99.52,TRADE
VIC1,2022/03/01 05:45:00,4983.14,94.99,TRADE
VIC1,2022/03/01 05:50:00,5010.71,98.65,TRADE
VIC1,2022/03/01 05:55:00,5095.82,97.39,TRADE
VIC1,2022/03/01 06:00:00,5121.46,94.81,TRADE
VIC1,2022/03/01 06:05:00,5214.9,95.94,TRADE
VIC1,2022/03/01 06:10:00,5294.49,112.36,TRADE
