REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2022/08/01 00:05:00,4780.58,8.94,TRADE
VIC1,2022/08/01 00:10:00,4822.36,8.94,TRADE
VIC1,2022/08/01 00:15:00,4818.11,8.94,TRADE
VIC1,2022/08/01 00:20:00,4762.15,8.94,TRADE
VIC1,2022/08/01 00:25:00,4733.28,8.94,TRADE
VIC1,2022/08/01 00:30:00,4664.19,8.94,TRADE
VIC1,2022/08/01 00:35:00,4689.51,34.71,TRADE
VIC1,2022/08/01 00:40:00,4720.5,128.31,TRADE
VIC1,2022/08/01 00:45:00,4690.85,34.71,TRADE
VIC1,2022/08/01 00:50:00,4659.61,29.39,TRADE
VIC1,2022/08/01 00:55:00,4661.9,8.94,TRADE
VIC1,2022/08/01 01:00:00,4637.65,8.94,TRADE
VIC1,2022/08/01 01:05:00,4542.08,-2.94,TRADE
VIC1,2022/08/01 01:10:00,4531.29,0,TRADE
VIC1,2022/08/01 01:15:00,4458.02,8.94,TRADE
VIC1,2022/08/01 01:20:00,4425.53,-24.50,TRADE
VIC1,2022/08/01 01:25:00,4401.69,8.94,TRADE
VIC1,2022/08/01 01:30:00,4378.65,-24.50,TRADE
VIC1,2022/08/01 01:35:00,4381.55,25.54,TRADE
VIC1,2022/08/01 01:40:00,4409.01,8.94,TRADE
VIC1,2022/08/01 01:45:00,4362.23,10.18,TRADE
VIC1,2022/08/01 01:50:00,4433.21,8.94,TRADE
VIC1,2022/08/01 01:55:00,4458.19,8.94,TRADE
VIC1,2022/08/01 02:00:00,4416.35,8.94,TRADE
VIC1,2022/08/01 02:05:00,4331.22,-24.50,TRADE
VIC1,2022/08/01 02:10:00,4313.22,8.94,TRADE
VIC1,2022/08/01 02:15:00,4273.05,20.26,TRADE
VIC1,2022/08/01 02:20:00,4328.29,8.94,TRADE
VIC1,2022/08/01 02:25:00,4316.01,-1.97,TRADE
VIC1,2022/08/01 02:30:00,4286.12,4.95,TRADE
VIC1,2022/08/01 02:35:00,4298.11,8.94,TRADE
VIC1,2022/08/01 02:40:00,4254.97,8.94,TRADE
VIC1,2022/08/01 02:45:00,4244.4,8.94,TRADE
VIC1,2022/08/01 02:50:00,4225.33,8.94,TRADE
VIC1,2022/08/01 02:55:00,4155.45,-2.66,TRADE
VIC1,2022/08/01 03:00:00,4160.99,20.26,TRADE
VIC1,2022/08/01 03:05:00,4148.09,8.94,TRADE
VIC1,2022/08/01 03:10:00,4141.09,-24.50,TRADE
VIC1,2022/08/01 03:15:00,4175.01,4.88,TRADE
VIC1,2022/08/01 03:20:00,4139.13,-3.87,TRADE
VIC1,2022/08/01 03:25:00,4160.57,8.94,TRADE
VIC1,2022/08/01 03:30:00,4158.21,8.94,TRADE
VIC1,2022/08/01 03:35:00,4168.8,0,TRADE
VIC1,2022/08/01 03:40:00,4167.26,0,TRADE
VIC1,2022/08/01 03:45:00,4115.59,-24.50,TRADE
VIC1,2022/08/01 03:50:00,4135.76,8.94,TRADE
VIC1,2022/08/01 03:55:00,4185.87,8.94,TRADE
VIC1,2022/08/01 04:00:00,4220.08,8.94,TRADE
VIC1,2022/08/01 04:05:00,4176.83,-24.50,TRADE
VIC1,2022/08/01 04:10:00,4209.25,1.86,TRADE
VIC1,2022/08/01 04:15:00,4260.63,15.73,TRADE
VIC1,2022/08/01 04:20:00,4246.82,-12.79,TRADE
VIC1,2022/08/01 04:25:00,4234.27,-13.91,TRADE
VIC1,2022/08/01 04:30:00,4182.39,-13.91,TRADE
VIC1,2022/08/01 04:35:00,4218.64,-13.95,TRADE
VIC1,2022/08/01 04:40:00,4222.21,-13.99,TRADE
VIC1,2022/08/01 04:45:00,4300.87,20.26,TRADE
VIC1,2022/08/01 04:50:00,4317.63,16.61,TRADE
VIC1,2022/08/01 04:55:00,4339.71,20.26,TRADE
VIC1,2022/08/01 05:00:00,4393.24,20.26,TRADE
VIC1,2022/08/01 05:05:00,4471.39,20.26,TRADE
VIC1,2022/08/01 05:10:00,4476.81,8.94,TRADE
VIC1,2022/08/01 05:15:00,4491.95,17.72,TRADE
VIC1,2022/08/01 05:20:00,4486.74,8.94,TRADE
VIC1,2022/08/01 05:25:00,4588.23,8.94,TRADE
VIC1,2022/08/01 05:30:00,4636.32,10.67,TRADE
VIC1,2022/08/01 05:35:00,4602.55,8.94,TRADE
VIC1,2022/08/01 05:40:00,4729.45,15.73,TRADE
VIC1,2022/08/01 05:45:00,4790.66,8.94,TRADE
VIC1,2022/08/01 05:50:00,4797.4,8.70,TRADE
VIC1,2022/08/01 05:55:00,4868.05,18.92,TRADE
VIC1,2022/08/01 06:00:00,4848.88,34.65,TRADE
VIC1,2022/08/01 06:05:00,4979.69,22.79,TRADE
VIC1,2022/08/01 06:10:00,5188.31,230.05,TRADE
VIC1,2022/08/01 06:15:00,5165.36,230.05,TRADE
VIC1,2022/08/01 06:20:00,5200.97,130.69,TRADE
VIC1,2022/08/01 06:25:00,5382.01,230.05,TRADE
VIC1,2022/08/01 06:30:00,5417.24,70.75,TRADE
VIC1,2022/08/01 06:35:00,5486.76,179.73,TRADE
VIC1,2022/08/01 06:40:00,5563.54,179.11,TRADE
VIC1,2022/08/01 06:45:00,5655.41,225.65,TRADE
VIC1,2022/08/01 06:50:00,5692.62,222.22,TRADE
VIC1,2022/08/01 06:55:00,5893.15,208.54,TRADE
VIC1,2022/08/01 07:00:00,6036.43,245,TRADE
VIC1,2022/08/01 07:05:00,6001.49,205.89,TRADE
VIC1,2022/08/01 07:10:00,6198.33,230.05,TRADE
VIC1,2022/08/01 07:15:00,6269.54,230.05,TRADE
VIC1,2022/08/01 07:20:00,6290.84,230.05,TRADE
VIC1,2022/08/01 07:25:00,6327.81,245,TRADE
VIC1,2022/08/01 07:30:00,6361.02,248.14,TRADE
VIC1,2022/08/01 07:35:00,6474.81,260.69,TRADE
VIC1,2022/08/01 07:40:00,6557.62,266.80,TRADE
VIC1,2022/08/01 07:45:00,6518.65,267.27,TRADE
VIC1,2022/08/01 07:50:00,6643.01,245,TRADE
VIC1,2022/08/01 07:55:00,6641.18,245,TRADE
VIC1,2022/08/01 08:00:00,6606.6,240.24,TRADE
VIC1,2022/08/01 08:05:00,6566.81,268,TRADE
VIC1,2022/08/01 08:10:00,6598.39,236.47,TRADE
VIC1,2022/08/01 08:15:00,6531.3,235.42,TRADE
VIC1,2022/08/01 08:20:00,6495.3,233.55,TRADE
VIC1,2022/08/01 08:25:00,6512.47,230.05,TRADE
VIC1,2022/08/01 08:30:00,6504.43,206.43,TRADE
VIC1,2022/08/01 08:35:00,6502.88,175.50,TRADE
VIC1,2022/08/01 08:40:00,6402.19,130.74,TRADE
VIC1,2022/08/01 08:45:00,6410.54,147.14,TRADE
VIC1,2022/08/01 08:50:00,6371.91,137.55,TRADE
VIC1,2022/08/01 08:55:00,6283.69,164.57,TRADE
VIC1,2022/08/01 09:00:00,6235.82,164.50,TRADE
VIC1,2022/08/01 09:05:00,6163.15,153.87,TRADE
VIC1,2022/08/01 09:10:00,6208.83,157,TRADE
VIC1,2022/08/01 09:15:00,6137.15,132.63,TRADE
VIC1,2022/08/01 09:20:00,6015.89,20.22,TRADE
VIC1,2022/08/01 09:25:00,6019.78,57.44,TRADE
VIC1,2022/08/01 09:30:00,6008.81,37.68,TRADE
VIC1,2022/08/01 09:35:00,5869.62,-24.71,TRADE
VIC1,2022/08/01 09:40:00,5799.19,64.19,TRADE
VIC1,2022/08/01 09:45:00,5692.81,-1.56,TRADE
VIC1,2022/08/01 09:50:00,5642.81,-23.58,TRADE
VIC1,2022/08/01 09:55:00,5614.18,34.71,TRADE
VIC1,2022/08/01 10:00:00,5637.19,34.71,TRADE
VIC1,2022/08/01 10:05:00,5647.32,34.71,TRADE
VIC1,2022/08/01 10:10:00,5640.28,8.94,TRADE
VIC1,2022/08/01 10:15:00,5669.6,-6.06,TRADE
VIC1,2022/08/01 10:20:00,5649.22,-38,TRADE
VIC1,2022/08/01 10:25:00,5566.22,-38,TRADE
