REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2022/01/01 00:05:00,5005.34,114.80,TRADE
VIC1,2022/01/01 00:10:00,4979.22,114.64,TRADE
VIC1,2022/01/01 00:15:00,4935.92,112.53,TRADE
VIC1,2022/01/01 00:20:00,4878.54,100.44,TRADE
VIC1,2022/01/01 00:25:00,4834.3,109.89,TRADE
VIC1,2022/01/01 00:30:00,4820.24,109.89,TRADE
VIC1,2022/01/01 00:35:00,4758.42,112.16,TRADE
VIC1,2022/01/01 00:40:00,4738.39,114.66,TRADE
VIC1,2022/01/01 00:45:00,4692.65,113.65,TRADE
VIC1,2022/01/01 00:50:00,4680.08,109.89,TRADE
VIC1,2022/01/01 00:55:00,4630.3,87.61,TRADE
VIC1,2022/01/01 01:00:00,4620.52,83.36,TRADE
VIC1,2022/01/01 01:05:00,4596.39,96.70,TRADE
VIC1,2022/01/01 01:10:00,4544.49,95.74,TRADE
VIC1,2022/01/01 01:15:00,4559.41,82.43,TRADE
VIC1,2022/01/01 01:20:00,4522.9,94.82,TRADE
VIC1,2022/01/01 01:25:00,4476.14,80.61,TRADE
VIC1,2022/01/01 01:30:00,4456.87,81.02,TRADE
VIC1,2022/01/01 01:35:00,4367.41,81.62,TRADE
VIC1,2022/01/01 01:40:00,4347.89,87.89,TRADE
VIC1,2022/01/01 01:45:00,4312.98,80.58,TRADE
VIC1,2022/01/01 01:50:00,4287.61,86.95,TRADE
VIC1,2022/01/01 01:55:00,4255.74,75.22,TRADE
VIC1,2022/01/01 02:00:00,4257.71,74.39,TRADE
VIC1,2022/01/01 02:05:00,4228.82,81.53,TRADE
VIC1,2022/01/01 02:10:00,4233.05,85.85,TRADE
VIC1,2022/01/01 02:15:00,4220.04,81.48,TRADE
VIC1,2022/01/01 02:20:00,4176.65,65.01,TRADE
VIC1,2022/01/01 02:25:00,4178.75,81.87,TRADE
VIC1,2022/01/01 02:30:00,4145.56,74.94,TRADE
VIC1,2022/01/01 02:35:00,4113.31,93.84,TRADE
VIC1,2022/01/01 02:40:00,4089.51,94.04,TRADE
VIC1,2022/01/01 02:45:00,4070.61,94.77,TRADE
VIC1,2022/01/01 02:50:00,4046.68,94.80,TRADE
VIC1,2022/01/01 02:55:00,4014.61,92.32,TRADE
