REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
VIC1,2022/02/01 00:05:00,5216.55,120.96,TRADE
VIC1,2022/02/01 00:10:00,5264.63,296.45,TRADE
VIC1,2022/02/01 00:15:00,5181.39,105.97,TRADE
VIC1,2022/02/01 00:20:00,5067.58,90.96,TRADE
VIC1,2022/02/01 00:25:00,5060.98,105.82,TRADE
VIC1,2022/02/01 00:30:00,5088.58,89.80,TRADE
VIC1,2022/02/01 00:35:00,5025.47,109.89,TRADE
VIC1,2022/02/01 00:40:00,4953.24,107.46,TRADE
VIC1,2022/02/01 00:45:00,4986.35,147.31,TRADE
VIC1,2022/02/01 00:50:00,4935.76,85.83,TRADE
VIC1,2022/02/01 00:55:00,4933.63,86.43,TRADE
VIC1,2022/02/01 01:00:00,4897.99,85.10,TRADE
VIC1,2022/02/01 01:05:00,4863.42,130.55,TRADE
VIC1,2022/02/01 01:10:00,4807.11,104.14,TRADE
VIC1,2022/02/01 01:15:00,4843.09,104.02,TRADE
VIC1,2022/02/01 01:20:00,4805.61,104.49,TRADE
VIC1,2022/02/01 01:25:00,4724.6,83.37,TRADE
VIC1,2022/02/01 01:30:00,4770.26,87.89,TRADE
VIC1,2022/02/01 01:35:00,4711.15,102.15,TRADE
VIC1,2022/02/01 01:40:00,4734.84,96.34,TRADE
VIC1,2022/02/01 01:45:00,4703.8,103.12,TRADE
VIC1,2022/02/01 01:50:00,4627.96,87.89,TRADE
VIC1,2022/02/01 01:55:00,4614.86,87.89,TRADE
VIC1,2022/02/01 02:00:00,4574.95,82.84,TRADE
VIC1,2022/02/01 02:05:00,4566.78,93.32,TRADE
VIC1,2022/02/01 02:10:00,4525.36,106.02,TRADE
VIC1,2022/02/01 02:15:00,4507,98.55,TRADE
VIC1,2022/02/01 02:20:00,4482.73,84.21,TRADE
VIC1,2022/02/01 02:25:00,4475.92,83,TRADE
VIC1,2022/02/01 02:30:00,4514.01,83.44,TRADE
VIC1,2022/02/01 02:35:00,4433.93,82.80,TRADE
VIC1,2022/02/01 02:40:00,4454.91,84.96,TRADE
VIC1,2022/02/01 02:45:00,4429.53,83.44,TRADE
VIC1,2022/02/01 02:50:00,4451.14,94.76,TRADE
VIC1,2022/02/01 02:55:00,4417.51,84.93,TRADE
VIC1,2022/02/01 03:00:00,4433.97,109.89,TRADE
VIC1,2022/02/01 03:05:00,4415.05,95.72,TRADE
VIC1,2022/02/01 03:10:00,4448.42,109.89,TRADE
VIC1,2022/02/01 03:15:00,4461.49,92.79,TRADE
VIC1,2022/02/01 03:20:00,4434.49,94.85,TRADE
VIC1,2022/02/01 03:25:00,4391.07,82.50,TRADE
VIC1,2022/02/01 03:30:00,4420.55,94.25,TRADE
VIC1,2022/02/01 03:35:00,4425.25,84.49,TRADE
VIC1,2022/02/01 03:40:00,4418.26,83.82,TRADE
VIC1,2022/02/01 03:45:00,4372.03,69.63,TRADE
VIC1,2022/02/01 03:50:00,4447.16,79.05,TRADE
VIC1,2022/02/01 03:55:00,4445.95,82.68,TRADE
VIC1,2022/02/01 04:00:00,4427.8,81.92,TRADE
VIC1,2022/02/01 04:05:00,4397.71,77.63,TRADE
VIC1,2022/02/01 04:10:00,4419.16,76.89,TRADE
VIC1,2022/02/01 04:15:00,4494.08,90.75,TRADE
VIC1,2022/02/01 04:20:00,4491.26,90.69,TRADE
VIC1,2022/02/01 04:25:00,4490.42,103.14,TRADE
VIC1,2022/02/01 04:30:00,4492.4,132.15,TRADE
VIC1,2022/02/01 04:35:00,4434.3,78.26,TRADE
VIC1,2022/02/01 04:40:00,4467.09,81.20,TRADE
VIC1,2022/02/01 04:45:00,4517.8,80.44,TRADE
VIC1,2022/02/01 04:50:00,4531.93,80.49,TRADE
VIC1,2022/02/01 04:55:00,4525.08,79.77,TRADE
VIC1,2022/02/01 05:00:00,4578.05,76.22,TRADE
VIC1,2022/02/01 05:05:00,4684.74,69.38,TRADE
VIC1,2022/02/01 05:10:00,4786.92,87.89,TRADE
VIC1,2022/02/01 05:15:00,4800.56,87.89,TRADE
VIC1,2022/02/01 05:20:00,4818.26,79.20,TRADE
VIC1,2022/02/01 05:25:00,4887.22,74.89,TRADE
VIC1,2022/02/01 05:30:00,4965.68,76.41,TRADE
VIC1,2022/02/01 05:35:00,5050.86,76.55,TRADE
VIC1,2022/02/01 05:40:00,4983.4,75.92,TRADE
VIC1,2022/02/01 05:45:00,5033.75,76.12,TRADE
VIC1,2022/02/01 05:50:00,5102.16,87.89,TRADE
VIC1,2022/02/01 05:55:00,5120.73,79.55,TRADE
VIC1,2022/02/01 06:00:00,5123.19,88.91,TRADE
VIC1,2022/02/01 06:05:00,5174.32,87.89,TRADE
VIC1,2022/02/01 06:10:00,5268.99,109.89,TRADE
VIC1,2022/02/01 06:15:00,5312.9,114.14,TRADE
VIC1,2022/02/01 06:20:00,5411.32,108.15,TRADE
VIC1,2022/02/01 06:25:00,5393.05,84.10,TRADE
VIC1,2022/02/01 06:30:00,5361.4,83.29,TRADE
VIC1,2022/02/01 06:35:00,5443.5,84.31,TRADE
VIC1,2022/02/01 06:40:00,5441.72,82.58,TRADE
VIC1,2022/02/01 06:45:00,5392.34,82.57,TRADE
VIC1,2022/02/01 06:50:00,5337.2,74.87,TRADE
VIC1,2022/02/01 06:55:00,5373.97,77.50,TRADE
